X_param,Y
"(10, 14)","[0.01109714, 0.07634472]"
"(10, 15)","[0.00084811, 0.01109714]"
"(10, 16)","[0.01109714, 0.52522685]"
"(10, 17)","[0.00023446, 0.02110573]"
"(10, 18)","[0.00012328, 0.02110573]"
"(10, 19)","[0.01109714, 0.14520056]"
"(10, 20)","[0.01109714, 0.14520056]"
"(10, 21)","[0.01109714, 0.14520056]"
"(10, 22)","[0.00306784, 0.02110573]"
"(10, 23)","[0.00044593, 0.02110573]"
"(10, 24)","[0.00306784, 0.02110573]"
"(10, 25)","[0.00012328, 0.01109714]"
"(10, 26)","[0.01109714, 0.14520056]"
"(10, 27)","[0.00044593, 0.02110573]"
"(10, 28)","[0.00012328, 0.01109714]"
"(10, 29)","[0.00306784, 0.02110573]"
"(10, 30)","[0.00012328, 0.02110573]"
"(10, 31)","[0.00084811, 0.01109714]"
"(10, 32)","[0.00044593, 0.02110573]"
"(10, 33)","[0.01109714, 0.52522685]"
"(10, 34)","[0.01109714, 0.99893269]"
"(10, 35)","[0.00044593, 0.02110573]"
"(10, 36)","[0.00012328, 0.00161303]"
"(10, 37)","[0.00012328, 0.02110573]"
"(10, 38)","[0.01109714, 0.14520056]"
"(10, 39)","[0.00023446, 0.02110573]"
"(10, 40)","[0.00012328, 0.02110573]"
"(10, 41)","[0.00044593, 0.02110573]"
"(10, 42)","[0.00306784, 0.02110573]"
"(10, 43)","[0.01109714, 0.52522685]"
"(10, 44)","[0.01109714, 0.14520056]"
"(11, 0)","[0.00023446, 0.01109714]"
"(11, 1)","[0.00583474, 0.52522685]"
"(11, 2)","[0.00012328, 0.01109714]"
"(11, 3)","[0.00084811, 0.01109714]"
"(11, 4)","[0.00012328, 0.00583474]"
"(11, 5)","[0.00023446, 0.01109714]"
"(11, 6)","[0.00023446, 0.01109714]"
"(11, 7)","[0.00084811, 0.01109714]"
"(11, 8)","[0.00583474, 0.52522685]"
"(11, 9)","[0.00161303, 0.01109714]"
"(11, 10)","[0.00023446, 0.01109714]"
"(11, 11)","[0.00012328, 0.02110573]"
"(11, 12)","[0.00583474, 0.99893269]"
"(11, 13)","[0.00012328, 0.01109714]"
"(11, 14)","[0.00012328, 0.00583474]"
"(11, 15)","[0.00012328, 0.00583474]"
"(11, 16)","[0.00012328, 0.00583474]"
"(11, 17)","[0.00012328, 0.01109714]"
"(11, 18)","[0.00583474, 0.99893269]"
"(11, 19)","[0.00583474, 0.27615799]"
"(11, 20)","[0.00023446, 0.01109714]"
"(11, 21)","[0.00044593, 0.01109714]"
"(11, 22)","[0.00012328, 0.00583474]"
"(11, 23)","[0.00023446, 0.01109714]"
"(11, 24)","[0.00044593, 0.01109714]"
"(11, 25)","[0.00012328, 0.00583474]"
"(11, 26)","[0.00583474, 0.99893269]"
"(11, 27)","[0.00306784, 0.52522685]"
"(11, 28)","[0.00583474, 0.52522685]"
"(11, 29)","[0.00044593, 0.01109714]"
"(11, 30)","[0.00023446, 0.01109714]"
"(11, 31)","[0.00044593, 0.01109714]"
"(11, 32)","[0.00084811, 0.01109714]"
"(11, 33)","[0.00044593, 0.01109714]"
"(11, 34)","[0.00012328, 0.00583474]"
"(11, 35)","[0.00012328, 0.01109714]"
"(11, 36)","[0.00012328, 0.00084811]"
"(11, 37)","[0.00023446, 0.01109714]"
"(11, 38)","[0.00012328, 0.01109714]"
"(11, 39)","[0.00012328, 0.00583474]"
"(11, 40)","[0.00044593, 0.01109714]"
"(11, 41)","[0.00084811, 0.01109714]"
"(11, 42)","[0.00583474, 0.99893269]"
"(11, 43)","[0.00012328, 0.01109714]"
"(11, 44)","[0.00583474, 0.27615799]"
